Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,35.0,1231.160256,0.005714286,0.023619048,0.0,0.0,Mar,2.0,2.0,1.0,1.0,Returning_Visitor,0.0,No
2.0,6.0,0.0,0.0,37.0,501.76666669999986,0.01025641,0.020512821,0.0,0.0,Sep,2.0,2.0,1.0,1.0,Returning_Visitor,0.0,No
5.0,92.75,1.0,74.75,84.0,2756.215152,0.0,0.0024621210000000003,0.0,0.0,Mar,2.0,2.0,9.0,3.0,New_Visitor,1.0,No
5.0,175.1,0.0,0.0,26.0,615.5595238,0.0,0.002083333,62.77367187,0.0,Sep,1.0,1.0,1.0,3.0,,1.0,Yes
4.0,48.0,0.0,0.0,2.0,11.0,0.0,0.008,0.0,0.0,Mar,2.0,6.0,6.0,7.0,New_Visitor,0.0,No
3.0,76.25,0.0,0.0,16.0,301.6666667,0.014285714,0.031746032,0.0,0.0,Nov,1.0,1.0,4.0,8.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,34.0,783.5666667,0.0,0.005882353000000001,62.07882353,0.0,May,2.0,2.0,1.0,6.0,Returning_Visitor,1.0,Yes
0.0,0.0,0.0,,2.0,42.0,0.0,0.05,0.0,0.0,Mar,2.0,2.0,6.0,3.0,Returning_Visitor,0.0,No
3.0,40.25,3.0,9.0,26.0,683.0292208,0.006451613,0.032319508,0.0,0.0,Nov,1.0,1.0,1.0,2.0,,0.0,Yes
0.0,0.0,0.0,0.0,5.0,54.33333333,0.0,0.02,0.0,0.0,Dec,1.0,2.0,1.0,3.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,8.0,123.0,0.025,0.029166667,0.0,0.0,Nov,3.0,2.0,3.0,11.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,6.0,139.75,0.033333333,0.066666667,0.0,0.0,Nov,2.0,2.0,3.0,2.0,New_Visitor,0.0,No
1.0,137.5,1.0,59.4,53.0,1844.65,0.022641509,0.049595687,0.0,0.0,June,4.0,2.0,1.0,3.0,Returning_Visitor,0.0,No
16.0,313.8666667,3.0,153.5,156.0,3899.001328,0.000170068,0.011252928999999998,1.534835979,0.0,May,2.0,2.0,2.0,4.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,13.0,226.0,0.0,0.023076923,0.0,0.0,Dec,2.0,2.0,9.0,8.0,New_Visitor,0.0,No
0.0,0.0,0.0,0.0,14.0,186.9333333,0.042857143,0.071428571,0.0,0.0,May,2.0,2.0,3.0,4.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,14.0,199.4904762,0.0,0.0,17.36252324,0.0,Sep,2.0,2.0,2.0,4.0,,0.0,Yes
5.0,191.8333333,1.0,17.0,10.0,209.3333333,0.0,0.018181818,0.0,0.0,Dec,1.0,,8.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.1,0.0,0.0,Dec,8.0,2.0,7.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Jul,3.0,2.0,4.0,1.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,50.0,1803.768849,0.001360544,0.017428305,3.609398514,0.0,Mar,2.0,4.0,7.0,3.0,,1.0,Yes
2.0,140.0,0.0,0.0,6.0,130.0,0.0,0.025,0.0,0.0,Mar,1.0,1.0,4.0,2.0,New_Visitor,1.0,No
1.0,158.0,1.0,64.0,29.0,1916.761905,0.006451613,0.018709677,8.772473117999999,0.0,Mar,2.0,2.0,3.0,2.0,,1.0,Yes
4.0,14.0,0.0,0.0,28.0,341.35,0.007142857,0.028571429,0.0,0.0,May,4.0,1.0,2.0,4.0,Returning_Visitor,0.0,No
1.0,67.5,1.0,,11.0,816.5,0.0,0.016666667,0.0,0.0,Dec,1.0,1.0,6.0,2.0,New_Visitor,0.0,No
1.0,0.0,0.0,0.0,60.0,1995.416667,0.0,0.003389831,61.58171224,0.0,Nov,2.0,4.0,1.0,7.0,,0.0,Yes
4.0,45.0,0.0,0.0,21.0,819.8333332999998,0.0,0.002898551,0.0,0.0,May,3.0,2.0,1.0,2.0,New_Visitor,0.0,No
2.0,62.5,0.0,0.0,17.0,548.3333332999998,0.0,0.031372549,0.0,0.0,Mar,2.0,2.0,1.0,2.0,Returning_Visitor,0.0,No
2.0,22.0,1.0,49.0,22.0,602.1666667000002,0.0,0.008695652,0.0,0.0,Mar,2.0,2.0,1.0,2.0,New_Visitor,1.0,No
0.0,0.0,0.0,0.0,6.0,151.0,0.0,0.08,0.0,0.0,,1.0,8.0,4.0,6.0,Returning_Visitor,0.0,No
26.0,1561.717567,9.0,503.7222222,183.0,9676.09318,0.011054834,0.014200442,19.56746389,0.0,Nov,3.0,2.0,2.0,13.0,,0.0,Yes
0.0,0.0,0.0,0.0,2.0,58.6,0.0,0.05,0.0,0.0,Jul,1.0,2.0,2.0,1.0,Returning_Visitor,0.0,No
17.0,346.7096405,3.0,207.25,292.0,8282.214508,0.000977199,0.005669849,13.91832377,0.0,Nov,2.0,2.0,1.0,2.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,31.0,1087.0,0.0,0.006666666999999999,0.0,0.0,May,4.0,2.0,2.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,26.0,234.8,0.05,0.119230769,0.0,0.0,Jul,2.0,2.0,7.0,13.0,Returning_Visitor,0.0,No
1.0,5.0,0.0,0.0,65.0,2498.833658,0.003174603,0.01005291,0.0,0.0,Dec,3.0,2.0,3.0,6.0,Returning_Visitor,1.0,No
6.0,17.0,0.0,0.0,51.0,1056.616667,0.016734693999999998,0.036472303,0.0,0.8,May,2.0,2.0,3.0,11.0,Returning_Visitor,0.0,No
5.0,44.5,1.0,4.0,37.0,836.3333332999998,0.005,0.045416667,0.0,0.0,Mar,2.0,2.0,4.0,1.0,Returning_Visitor,0.0,No
1.0,40.5,0.0,0.0,49.0,1587.25,0.0,0.011538462,35.79969486,0.0,Nov,2.0,2.0,3.0,13.0,,0.0,Yes
5.0,171.7333333,0.0,0.0,93.0,2087.64987,0.013829787,0.023551165,0.0,0.0,Oct,3.0,2.0,1.0,4.0,Returning_Visitor,1.0,No
2.0,98.0,0.0,0.0,81.0,2628.0,0.002469136,0.012345678999999998,0.602232815,0.0,Dec,2.0,1.0,1.0,2.0,,0.0,Yes
0.0,0.0,0.0,0.0,2.0,29.2,0.0,0.05,0.0,0.0,Jul,1.0,1.0,4.0,3.0,Returning_Visitor,0.0,No
1.0,29.2,0.0,0.0,7.0,75.6,0.0,0.025,0.0,0.0,Aug,1.0,1.0,4.0,2.0,New_Visitor,1.0,No
0.0,0.0,0.0,0.0,7.0,133.5,0.0,,0.0,0.0,Nov,2.0,2.0,6.0,6.0,Other,0.0,No
0.0,0.0,1.0,42.0,20.0,408.3333333,0.0,0.003174603,33.47777322,0.0,Mar,2.0,4.0,7.0,2.0,,0.0,Yes
0.0,0.0,0.0,0.0,2.0,41.5,0.1,0.1,0.0,0.0,Dec,1.0,1.0,3.0,1.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,8.0,70.2,0.025,0.061111111,0.0,0.0,Mar,1.0,2.0,8.0,1.0,Returning_Visitor,0.0,No
3.0,202.1333333,0.0,0.0,23.0,721.1833333,0.0,0.008,0.0,0.0,Sep,1.0,1.0,1.0,2.0,New_Visitor,0.0,No
0.0,0.0,0.0,0.0,3.0,6.0,0.066666667,0.133333333,0.0,0.6,May,2.0,2.0,1.0,1.0,Returning_Visitor,0.0,No
7.0,105.75,0.0,0.0,124.0,3394.1301590000007,0.001587302,0.012918871,5.921482086,0.0,May,2.0,2.0,3.0,11.0,Returning_Visitor,1.0,No
5.0,72.57333333,10.0,208.6,27.0,1091.323333,0.005,0.029166667,0.0,0.0,Sep,,2.0,1.0,2.0,,0.0,Yes
3.0,89.8,0.0,0.0,12.0,355.85,0.013333333,0.016,0.0,0.0,Oct,1.0,1.0,1.0,3.0,New_Visitor,1.0,No
0.0,0.0,0.0,0.0,8.0,731.0,0.0,0.04375,0.0,0.0,Mar,2.0,4.0,1.0,3.0,Returning_Visitor,0.0,No
2.0,143.25,0.0,0.0,38.0,2508.413853,0.0,0.00745614,54.16451768,0.0,Nov,2.0,2.0,7.0,2.0,,0.0,Yes
11.0,734.6333333,0.0,0.0,67.0,3523.331111,0.002666667,0.012088888999999998,22.293190600000006,0.0,Aug,2.0,2.0,1.0,4.0,Returning_Visitor,0.0,No
11.0,603.8,2.0,102.75,305.0,5018.328289,0.001607717,0.005625881,0.0,0.0,Oct,3.0,2.0,6.0,3.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,15.0,378.5,0.0044444440000000005,0.037777778,0.0,0.0,Nov,2.0,2.0,1.0,2.0,Returning_Visitor,0.0,No
,0.0,0.0,0.0,20.0,724.1333333,0.074074074,0.083333333,0.0,0.6,May,3.0,3.0,3.0,4.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,50.0,2549.534524,0.012244898,0.036530612,0.0,0.0,Nov,1.0,2.0,2.0,2.0,Returning_Visitor,0.0,No
9.0,177.33333330000005,0.0,0.0,70.0,2346.220238,0.002898551,0.003457557,0.0,0.0,Nov,1.0,1.0,5.0,3.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,15.0,1861.5,0.0,0.026666667,0.0,0.0,May,3.0,3.0,4.0,3.0,Returning_Visitor,0.0,No
1.0,0.0,0.0,0.0,19.0,867.8333332999997,0.015,0.028333333,0.0,0.0,May,2.0,,7.0,6.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,3.0,129.0,0.0,0.1,0.0,0.0,May,2.0,2.0,1.0,1.0,Returning_Visitor,1.0,No
4.0,77.6,0.0,0.0,39.0,,0.038157895,0.073976608,0.775318113,0.0,Nov,1.0,1.0,4.0,,Returning_Visitor,0.0,No
2.0,35.5,0.0,0.0,29.0,3296.65,0.009677419,0.021935484,18.25059634,0.0,Dec,4.0,2.0,9.0,8.0,Returning_Visitor,0.0,No
5.0,20.0,0.0,0.0,72.0,3220.887143,0.024937343,0.061688596,0.975803268,0.0,Oct,4.0,1.0,2.0,1.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,3.0,903.0,0.0,0.066666667,0.0,0.0,Mar,2.0,2.0,1.0,1.0,Returning_Visitor,0.0,No
12.0,394.1,0.0,0.0,30.0,917.25,0.0,0.005405405,0.0,0.0,Nov,2.0,2.0,1.0,2.0,,1.0,Yes
0.0,0.0,0.0,0.0,30.0,397.0,0.0,0.02,0.0,0.0,Mar,2.0,2.0,7.0,2.0,Returning_Visitor,0.0,No
2.0,35.0,0.0,0.0,20.0,979.0833332999997,0.0,0.00952381,60.04549665,0.0,Mar,2.0,2.0,3.0,2.0,,0.0,Yes
1.0,65.5,1.0,38.5,131.0,3902.664774,0.008888889,0.02287037,0.0,0.0,Nov,3.0,2.0,3.0,1.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,2.0,11.0,0.088888889,0.188888889,0.0,0.0,Dec,2.0,2.0,2.0,2.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,42.0,2084.479524,0.004761905,0.014920635,0.0,0.0,Oct,1.0,1.0,1.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,37.0,907.5,0.005405405,0.021621622000000004,0.0,0.0,Nov,2.0,2.0,1.0,8.0,New_Visitor,0.0,No
0.0,0.0,0.0,0.0,23.0,935.9,0.004347826,0.024637681,0.0,0.0,Dec,2.0,2.0,1.0,2.0,New_Visitor,0.0,No
5.0,205.5,1.0,,37.0,1683.6333329999998,0.0,0.017261905,4.744206349,0.0,May,3.0,2.0,8.0,2.0,Returning_Visitor,1.0,No
2.0,158.0,0.0,0.0,12.0,751.5,0.0,0.014285714,32.02714286,0.0,May,2.0,2.0,1.0,2.0,Returning_Visitor,0.0,Yes
6.0,,0.0,0.0,24.0,1737.0,0.006896551999999999,0.015172414,23.51599702,0.0,Nov,1.0,1.0,6.0,10.0,,1.0,Yes
0.0,0.0,0.0,0.0,4.0,13.0,0.133333333,0.133333333,0.0,0.4,May,2.0,5.0,1.0,3.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,13.0,281.547619,0.003846154,0.017307692,0.0,0.0,Mar,1.0,1.0,2.0,2.0,Returning_Visitor,1.0,No
1.0,68.6,0.0,0.0,73.0,2265.492857,0.011111111000000002,0.00716821,0.0,0.0,Nov,3.0,2.0,3.0,13.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,29.0,1073.2957789999996,0.013793103,0.017471264,0.0,0.0,Dec,1.0,1.0,1.0,3.0,Returning_Visitor,1.0,No
3.0,112.0,0.0,0.0,20.0,1187.5,0.0,0.016666667,26.8752,0.0,May,2.0,2.0,1.0,4.0,Returning_Visitor,0.0,No
9.0,146.0,0.0,0.0,49.0,1592.133333,0.003636364,0.02,3.490036364,0.0,May,2.0,2.0,3.0,4.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,4.0,69.0,0.0,0.05,0.0,0.0,Nov,3.0,2.0,1.0,3.0,Returning_Visitor,0.0,No
4.0,55.75,0.0,0.0,19.0,685.95,0.0,0.017724868,7.1414285710000005,0.0,Mar,3.0,2.0,7.0,2.0,,1.0,Yes
0.0,0.0,0.0,0.0,5.0,57.0,0.08,0.12,0.0,0.0,Mar,2.0,5.0,2.0,1.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,7.0,96.0,0.0,0.025,54.20146753,0.0,Nov,2.0,2.0,1.0,2.0,,0.0,Yes
8.0,359.0,1.0,16.0,19.0,497.6666667,0.007692308,0.023076923,0.0,0.0,May,2.0,4.0,7.0,1.0,Returning_Visitor,0.0,No
5.0,710.3333332999998,0.0,0.0,23.0,7533.272727,0.0,0.007407406999999999,0.0,0.0,Mar,2.0,2.0,1.0,2.0,Returning_Visitor,0.0,No
2.0,52.0,0.0,0.0,28.0,1265.75,0.0,0.028888889,4.1976,0.0,May,2.0,2.0,8.0,,Returning_Visitor,0.0,No
4.0,67.5,0.0,0.0,27.0,,0.0,0.014285714,0.0,0.0,Nov,2.0,2.0,2.0,2.0,New_Visitor,1.0,No
0.0,0.0,0.0,0.0,93.0,2243.666667,0.010989011000000002,0.031501832,0.0,0.0,Mar,2.0,4.0,8.0,1.0,Returning_Visitor,0.0,No
2.0,191.4,0.0,0.0,7.0,789.5333333,0.025,0.0375,0.0,0.0,Nov,3.0,3.0,3.0,5.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,35.0,584.3083333,0.0,0.008571429,0.0,0.0,Dec,3.0,2.0,3.0,1.0,Returning_Visitor,0.0,No
1.0,69.6,0.0,0.0,46.0,1292.449762,0.004347826,0.005555556,0.0,0.0,Aug,3.0,2.0,1.0,2.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,3.0,8.0,0.066666667,0.133333333,0.0,0.0,Mar,2.0,4.0,1.0,3.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,29.0,874.9523810000002,0.004597701,0.044367816,0.0,0.0,Dec,1.0,1.0,1.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,16.0,566.4866667,0.0,0.039365079,18.30205576,0.0,Sep,3.0,2.0,2.0,1.0,,0.0,Yes
6.0,112.5,0.0,0.0,47.0,1882.113409,0.004,0.019314286,17.527656,0.0,Mar,1.0,1.0,4.0,3.0,Returning_Visitor,0.0,No
4.0,47.0,0.0,0.0,29.0,5198.5333329999985,0.0,0.019892473,0.0,0.0,May,2.0,4.0,2.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,11.0,229.9166667,0.018181818,0.040909091,0.0,0.0,Nov,3.0,2.0,4.0,1.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,7.0,974.6666667000003,0.085714286,0.128571429,0.0,0.0,Mar,2.0,2.0,1.0,10.0,Returning_Visitor,0.0,No
3.0,73.2,5.0,124.26666670000002,10.0,239.7,0.0,0.0025,0.0,0.0,Sep,2.0,2.0,5.0,1.0,New_Visitor,0.0,No
0.0,0.0,0.0,0.0,10.0,345.25,0.02,0.04,0.0,0.0,May,2.0,4.0,3.0,3.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.0,Nov,3.0,2.0,1.0,10.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,22.0,584.5,0.009090909,0.036363636,0.0,0.0,May,4.0,1.0,9.0,4.0,Returning_Visitor,0.0,No
4.0,643.8333332999998,0.0,0.0,17.0,508.25,0.031578947,0.052631579000000005,0.0,0.0,Nov,2.0,4.0,1.0,1.0,Returning_Visitor,0.0,No
8.0,822.6666667000002,3.0,225.3333333,45.0,1896.966667,0.011764706000000002,0.02745098,7.521155028,0.0,Dec,1.0,1.0,3.0,1.0,Returning_Visitor,0.0,No
10.0,291.2357143000001,0.0,0.0,36.0,940.1044266,0.0,0.002845528,87.30695843,0.0,Aug,2.0,2.0,2.0,2.0,,0.0,Yes
4.0,81.5,0.0,0.0,12.0,223.5833333,0.0,0.002666667,0.0,0.0,Mar,1.0,1.0,1.0,3.0,Returning_Visitor,0.0,No
2.0,64.5,0.0,0.0,52.0,2120.630952,0.0,0.011965812,0.0,0.0,Nov,2.0,2.0,1.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,7.0,1544.75,0.014285714,0.033333333,0.0,0.0,Dec,1.0,1.0,3.0,1.0,Returning_Visitor,0.0,No
13.0,498.9,0.0,0.0,221.0,3111.362121,0.0,0.0060205580000000005,5.268190163,0.0,Oct,2.0,5.0,4.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,14.0,197.5,0.021428571,0.042857143,0.0,0.4,May,2.0,2.0,1.0,1.0,Returning_Visitor,0.0,No
,,,,,,,,0.0,0.0,Mar,2.0,2.0,3.0,1.0,Returning_Visitor,0.0,No
4.0,45.7,1.0,0.0,13.0,94.6,0.041666667,0.070670996,0.0,0.0,Jul,3.0,2.0,2.0,4.0,,0.0,Yes
0.0,0.0,0.0,0.0,11.0,887.0,0.054545455,0.096969697,0.0,0.0,Nov,2.0,5.0,3.0,1.0,Returning_Visitor,0.0,No
5.0,154.2,0.0,0.0,12.0,269.5357143,0.0044444440000000005,0.006111111,0.0,0.0,Aug,3.0,2.0,1.0,4.0,Returning_Visitor,0.0,No
5.0,39.0,2.0,12.0,15.0,158.0,0.0,0.02010582,0.0,0.0,May,2.0,2.0,9.0,4.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,3.0,58.4,0.0,0.066666667,0.0,0.0,Jul,2.0,4.0,1.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,16.0,351.75,0.008888889,0.023492063,0.0,0.0,May,3.0,2.0,7.0,4.0,Returning_Visitor,0.0,No
0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,1.0,1.0,3.0,4.0,Returning_Visitor,1.0,No
0.0,0.0,0.0,0.0,13.0,88.0,0.115384615,0.125641026,0.0,0.6,May,3.0,2.0,1.0,3.0,Returning_Visitor,0.0,No
6.0,262.25,3.0,298.0,49.0,2302.0212420000007,0.00030864200000000003,0.026591844,43.3616369,0.0,Mar,1.0,1.0,1.0,2.0,Returning_Visitor,0.0,Yes
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,3.0,3.0,5.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,65.0,1931.512121,0.0,0.025128205,0.0,0.0,Dec,2.0,2.0,3.0,2.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,6.0,104.0,0.0,0.033333333,0.0,0.0,Mar,3.0,2.0,7.0,6.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,39.0,4022.0,0.0,0.034188034,0.0,0.0,Nov,2.0,2.0,6.0,1.0,Returning_Visitor,0.0,No
2.0,40.0,1.0,93.66666667,54.0,2070.643939,0.003773585,0.016163522,0.0,0.0,May,3.0,3.0,3.0,4.0,Returning_Visitor,0.0,No
0.0,0.0,0.0,0.0,20.0,436.1,0.04,0.07,0.0,0.0,June,1.0,1.0,4.0,,Returning_Visitor,0.0,No
